"id","activeFranchise","firstSeasonId","franchiseId","gameTypeId","gamesPlayed","goalsAgainst","goalsFor","homeLosses","homeOvertimeLosses","homeTies","homeWins","lastSeasonId","losses","overtimeLosses","penaltyMinutes","pointPctg","points","roadLosses","roadOvertimeLosses","roadTies","roadWins","shootoutLosses","shootoutWins","shutouts","teamId","teamName","ties","triCode","wins"
1,1,19821983,23,2,2993,8902,8792,525,85,96,790,NA,1211,169,44773,0.5306,3176,686,84,123,604,84,78,196,1,"New Jersey Devils",219,"NJD",1394
2,1,19821983,23,3,257,634,697,53,0,NA,74,NA,120,0,4266,0.0039,2,67,0,NA,63,0,0,25,1,"New Jersey Devils",NA,"NJD",137
3,1,19721973,22,2,3788,11907,12045,678,84,170,963,NA,1587,166,57792,0.5133,3889,909,82,177,725,70,86,177,2,"New York Islanders",347,"NYI",1688
4,1,19721973,22,3,307,891,980,52,1,NA,94,NA,137,0,5654,0.013,8,85,2,NA,76,0,0,12,2,"New York Islanders",NA,"NYI",170
5,1,19261927,10,2,6560,20020,20041,1143,76,448,1614,NA,2716,153,86129,0.5127,6727,1573,77,360,1269,68,79,408,3,"New York Rangers",808,"NYR",2883
6,1,19261927,10,3,518,1447,1404,104,0,1,137,NA,266,0,8181,0,0,162,0,7,107,0,0,44,3,"New York Rangers",8,"NYR",244
7,1,19671968,16,3,449,1332,1335,97,0,NA,135,NA,218,0,9104,0.0045,4,121,0,NA,96,0,0,33,4,"Philadelphia Flyers",NA,"PHI",231
8,1,19671968,16,2,4171,12255,13690,584,93,193,1216,NA,1452,183,76208,0.5752,4798,868,90,264,863,92,53,248,4,"Philadelphia Flyers",457,"PHI",2079
9,1,19671968,17,2,4171,14049,13874,683,60,205,1138,NA,1734,151,66221,0.5203,4340,1051,91,178,765,54,83,189,5,"Pittsburgh Penguins",383,"PIT",1903
10,1,19671968,17,3,391,1131,1190,85,0,NA,113,NA,182,0,6106,0.0153,12,97,1,NA,96,0,0,30,5,"Pittsburgh Penguins",NA,"PIT",209
11,1,19241925,6,2,6626,19137,21112,960,92,376,1885,NA,2403,191,88570,0.5632,7464,1443,99,415,1356,82,68,506,6,"Boston Bruins",791,"BOS",3241
12,1,19241925,6,3,675,1907,1956,151,2,3,194,NA,337,0,10607,0.0296,40,186,2,3,138,0,0,49,6,"Boston Bruins",6,"BOS",332
13,1,19701971,19,2,3945,11966,12471,639,84,197,1053,NA,1564,167,60671,0.5305,4186,925,83,212,752,74,81,194,7,"Buffalo Sabres",409,"BUF",1805
14,1,19701971,19,3,256,765,763,54,0,NA,73,NA,132,0,4692,0,0,78,0,NA,51,0,0,18,7,"Buffalo Sabres",NA,"BUF",124
15,1,19171918,1,3,770,1951,2299,133,0,3,257,NA,320,0,12130,0,0,187,0,5,185,0,0,68,8,"Montréal Canadiens",8,"MTL",442
16,1,19171918,1,2,6787,18260,21791,881,95,381,2038,NA,2302,175,87484,0.5863,7958,1421,80,456,1435,66,69,543,8,"Montréal Canadiens",837,"MTL",3473
17,1,19921993,30,2,2195,6580,6250,413,93,60,533,NA,940,169,29684,0.5071,2226,527,76,55,438,79,58,137,9,"Ottawa Senators",115,"OTT",971
18,1,19921993,30,3,151,372,357,35,0,NA,37,NA,79,0,2102,0,0,44,0,NA,35,0,0,12,9,"Ottawa Senators",NA,"OTT",72
19,1,19271928,5,2,6516,19953,19980,1082,85,388,1702,NA,2696,174,92331,0.5136,6693,1614,89,385,1171,77,59,422,10,"Toronto Maple Leafs",773,"TOR",2873
20,1,19271928,5,3,545,1491,1398,120,0,2,149,NA,283,0,8550,0.011,12,163,1,1,110,0,0,50,10,"Toronto Maple Leafs",3,"TOR",259
21,1,19992000,35,2,902,3014,2465,204,38,26,183,20102011,437,78,13727,0.4473,807,233,40,19,159,29,37,41,11,"Atlanta Thrashers",45,"ATL",342
22,1,19992000,35,3,4,17,6,2,0,NA,0,20102011,4,0,115,0,0,2,0,NA,0,0,0,0,11,"Atlanta Thrashers",NA,"ATL",0
23,1,19971998,26,3,112,282,272,24,0,NA,32,NA,54,0,1310,0.0714,16,30,2,NA,26,0,0,11,12,"Carolina Hurricanes",NA,"CAR",58
24,1,19971998,26,2,1812,5140,4914,323,77,52,453,NA,725,174,19429,0.5281,1914,402,97,34,374,61,50,99,12,"Carolina Hurricanes",86,"CAR",827
25,1,19931994,33,2,2109,6122,5665,390,115,65,485,NA,870,208,29171,0.5045,2128,480,93,77,404,97,71,115,13,"Florida Panthers",142,"FLA",889
26,1,19931994,33,3,54,152,132,15,0,NA,13,NA,33,0,775,0,0,18,0,NA,8,0,0,3,13,"Florida Panthers",NA,"FLA",21
27,1,19921993,31,2,2194,6646,6216,414,67,56,559,NA,947,150,31086,0.5087,2232,533,83,56,426,59,68,124,14,"Tampa Bay Lightning",112,"TBL",985
28,1,19921993,31,3,174,455,479,43,0,NA,47,NA,75,0,2421,0.0632,22,32,0,NA,52,0,1,14,14,"Tampa Bay Lightning",NA,"TBL",99
29,1,19741975,24,2,3633,11553,11516,620,83,153,959,NA,1467,163,57455,0.5321,3866,847,80,150,741,71,68,178,15,"Washington Capitals",303,"WSH",1700
30,1,19741975,24,3,295,837,836,77,1,NA,75,NA,156,1,5152,0.0644,38,79,2,NA,63,1,0,19,15,"Washington Capitals",NA,"WSH",138
31,1,19261927,11,3,548,1669,1566,104,0,1,166,NA,275,0,8855,0,0,171,1,4,102,0,0,32,16,"Chicago Blackhawks",5,"CHI",268
32,1,19261927,11,2,6560,19687,19537,1128,86,410,1655,NA,2761,173,92285,0.5039,6611,1633,87,404,1157,70,75,439,16,"Chicago Blackhawks",814,"CHI",2812
33,1,19321933,12,2,6293,18881,19550,940,99,368,1741,NA,2446,183,84403,0.5354,6738,1506,84,405,1150,76,71,423,17,"Detroit Red Wings",773,"DET",2891
34,1,19321933,12,3,618,1565,1745,126,0,0,188,NA,293,0,8735,0,0,167,0,0,137,0,0,66,17,"Detroit Red Wings",0,"DET",325
35,1,19981999,34,2,1731,4708,4730,282,73,34,477,NA,656,163,19933,0.5566,1927,374,90,26,375,70,74,134,18,"Nashville Predators",60,"NSH",852
36,1,19981999,34,3,121,340,307,27,0,NA,34,NA,67,0,1377,0.0744,18,40,2,NA,20,0,0,6,18,"Nashville Predators",NA,"NSH",54
37,1,19671968,18,2,4173,12688,12827,674,72,218,1122,NA,1645,167,65608,0.534,4457,971,95,214,807,69,74,252,19,"St. Louis Blues",432,"STL",1929
38,1,19671968,18,3,404,1227,1103,92,3,NA,108,NA,221,1,7730,0.0396,32,129,0,NA,74,1,0,21,19,"St. Louis Blues",NA,"STL",182
39,1,19801981,21,3,221,730,696,52,1,NA,60,NA,118,0,5118,0.0045,2,66,1,NA,43,0,0,14,20,"Calgary Flames",NA,"CGY",103
40,1,19801981,21,2,3154,9821,10257,508,69,135,863,NA,1236,150,55423,0.5414,3415,728,81,136,634,65,52,144,20,"Calgary Flames",271,"CGY",1497
41,1,19951996,27,2,1978,5458,5857,327,62,55,543,NA,728,142,25410,0.5705,2257,401,80,46,464,42,73,124,21,"Colorado Avalanche",101,"COL",1007
42,1,19951996,27,3,219,560,647,44,1,NA,69,NA,94,1,2970,0.0411,18,50,0,NA,55,0,0,23,21,"Colorado Avalanche",NA,"COL",124
43,1,19791980,25,2,3235,10633,10776,587,74,125,830,NA,1337,167,55008,0.5204,3367,750,93,137,639,69,75,122,22,"Edmonton Oilers",262,"EDM",1469
44,1,19791980,25,3,272,825,994,48,0,NA,91,NA,112,0,5756,0,0,64,0,NA,69,0,0,14,22,"Edmonton Oilers",NA,"EDM",160
45,1,19701971,20,2,3945,12999,12138,736,84,210,943,NA,1746,159,66856,0.4877,3848,1010,75,181,706,76,72,169,23,"Vancouver Canucks",391,"VAN",1649
46,1,19701971,20,3,246,780,682,68,0,NA,56,NA,135,0,4755,0,0,67,0,NA,55,0,0,14,23,"Vancouver Canucks",NA,"VAN",111
47,1,19931994,32,3,162,421,433,34,0,NA,51,NA,73,0,2302,0,0,39,0,NA,38,0,0,16,24,"Anaheim Ducks",NA,"ANA",89
48,1,19931994,32,2,2111,5838,5693,359,82,58,557,NA,834,180,30579,0.5369,2267,475,98,49,433,78,71,137,24,"Anaheim Ducks",107,"ANA",990
49,1,19931994,15,2,2109,5609,6022,314,81,65,594,NA,738,162,28050,0.582,2455,424,81,60,490,62,73,150,25,"Dallas Stars",125,"DAL",1084
50,1,19931994,15,3,200,504,511,46,0,NA,54,NA,95,0,2619,0.035,14,49,2,NA,51,0,1,15,25,"Dallas Stars",NA,"DAL",105
51,1,19671968,14,2,4172,13761,13053,776,71,211,1027,NA,1829,165,65875,0.491,4097,1053,94,213,727,71,69,234,26,"Los Angeles Kings",424,"LAK",1754
52,1,19671968,14,3,255,851,745,60,0,NA,62,NA,144,0,4399,0,0,84,0,NA,49,0,0,14,26,"Los Angeles Kings",NA,"LAK",111
53,1,19961997,28,2,1360,3824,3632,249,48,43,340,20132014,546,105,19860,0.5254,1429,297,57,51,275,49,52,105,27,"Phoenix Coyotes",94,"PHX",615
54,1,19961997,28,3,57,169,133,19,0,NA,10,20132014,35,0,837,0,0,16,0,NA,12,0,0,4,27,"Phoenix Coyotes",NA,"PHX",22
55,1,19911992,29,3,241,691,631,52,0,NA,67,NA,122,0,3034,0.0664,32,70,1,NA,52,0,0,15,28,"San Jose Sharks",NA,"SJS",119
56,1,19911992,29,2,2274,6618,6490,407,84,58,589,NA,920,163,31739,0.533,2424,513,79,63,481,67,76,157,28,"San Jose Sharks",121,"SJS",1070
57,1,20002001,36,2,1568,4612,4092,300,77,18,390,NA,698,159,19835,0.4936,1548,398,82,15,288,72,71,105,29,"Columbus Blue Jackets",33,"CBJ",678
58,1,20002001,36,3,41,133,110,13,0,NA,6,NA,26,0,387,0.1951,16,13,3,NA,9,0,0,2,29,"Columbus Blue Jackets",NA,"CBJ",15
59,1,20002001,37,2,1567,4135,4166,243,84,28,429,NA,599,154,17134,0.5511,1727,356,70,27,330,70,71,113,30,"Minnesota Wild",55,"MIN",759
60,1,20002001,37,3,84,231,187,24,0,NA,15,NA,54,0,882,0.0119,2,30,0,NA,15,0,0,7,30,"Minnesota Wild",NA,"MIN",30
61,1,19671968,15,2,2062,7373,6690,391,NA,163,477,19921993,970,NA,36310,0.4486,1850,579,NA,171,281,0,0,70,31,"Minnesota North Stars",334,"MNS",758
62,1,19671968,15,3,166,580,552,33,NA,NA,45,19921993,86,NA,3468,0,0,53,NA,NA,35,0,0,9,31,"Minnesota North Stars",NA,"MNS",80
63,1,19791980,27,3,80,286,247,17,NA,NA,21,19941995,45,NA,2434,0,0,28,NA,NA,14,0,0,1,32,"Quebec Nordiques",NA,"QUE",35
64,1,19791980,27,2,1256,4883,4625,245,NA,83,300,19941995,599,NA,27013,0.4594,1154,354,NA,77,197,0,0,28,32,"Quebec Nordiques",160,"QUE",497
65,1,19791980,28,2,1338,5347,4762,274,NA,88,307,19951996,660,NA,27371,0.4425,1184,386,NA,84,199,0,0,37,33,"Winnipeg Jets (1979)",172,"WIN",506
66,1,19791980,28,3,62,253,177,16,NA,NA,12,19951996,43,NA,1546,0,0,27,NA,NA,7,0,0,0,33,"Winnipeg Jets (1979)",NA,"WIN",19
67,1,19791980,26,2,1420,5345,4704,297,NA,95,318,19961997,709,NA,29656,0.4384,1245,412,NA,82,216,0,0,50,34,"Hartford Whalers",177,"HFD",534
68,1,19791980,26,3,49,177,143,10,NA,NA,12,19961997,31,NA,1273,0,0,21,NA,NA,6,0,0,1,34,"Hartford Whalers",NA,"HFD",18
69,1,19761977,23,2,480,1957,1426,115,NA,47,78,19811982,281,NA,6216,0.325,312,166,NA,39,35,0,0,3,35,"Colorado Rockies",86,"CLR",113
70,1,19761977,23,3,2,6,3,1,NA,NA,0,19811982,2,NA,25,0,0,1,NA,NA,0,0,0,0,35,"Colorado Rockies",NA,"CLR",0
71,0,19171918,3,3,41,84,91,7,NA,4,6,19331934,17,NA,497,0,0,10,NA,2,12,0,0,9,36,"Ottawa Senators (1917)",6,"SEN",18
72,0,19171918,3,2,542,1333,1458,81,NA,30,160,19331934,221,NA,5667,0.5341,579,140,NA,33,98,0,0,91,36,"Ottawa Senators (1917)",63,"SEN",258
73,0,19201921,4,2,126,475,414,30,NA,0,33,19241925,78,NA,1042,0.377,95,48,NA,1,14,0,0,8,37,"Hamilton Tigers",1,"HAM",47
74,0,19251926,9,2,212,519,376,55,NA,10,41,19291930,122,NA,1620,0.3703,157,67,NA,13,26,0,0,33,38,"Pittsburgh Pirates",23,"PIR",67
75,0,19251926,9,3,4,12,8,1,NA,0,0,19291930,2,NA,20,0,0,1,NA,1,1,0,0,0,38,"Pittsburgh Pirates",1,"PIR",1
76,0,19301931,9,2,44,184,76,17,NA,2,3,19301931,36,NA,503,0.1364,12,19,NA,2,1,0,0,1,39,"Philadelphia Quakers",4,"QUA",4
77,1,19261927,12,2,176,380,353,42,NA,11,35,19291930,87,NA,1718,0.4347,153,45,NA,14,29,0,0,29,40,"Detroit Cougars",25,"DCG",64
78,1,19261927,12,3,2,7,2,1,NA,0,0,19291930,2,NA,24,0,0,1,NA,0,0,0,0,0,40,"Detroit Cougars",0,"DCG",0
79,0,19171918,2,2,6,37,17,2,NA,0,1,19171918,5,NA,27,0.1667,2,3,NA,0,0,0,0,0,41,"Montreal Wanderers",0,"MWN",1
80,0,19191920,4,2,24,177,91,8,NA,0,4,19191920,20,NA,119,0.1667,8,12,NA,0,0,0,0,0,42,"Quebec Bulldogs",0,"QBD",4
81,0,19241925,7,2,622,1405,1474,107,NA,48,156,19371938,260,NA,7330,0.5088,633,153,NA,43,115,0,0,75,43,"Montreal Maroons",91,"MMR",271
82,0,19241925,7,3,50,79,74,12,NA,8,9,19371938,21,NA,535,0,0,9,NA,1,11,0,0,13,43,"Montreal Maroons",9,"MMR",20
83,0,19251926,8,2,736,2007,1510,154,NA,67,147,19401941,373,NA,6348,0.409,602,219,NA,57,92,0,0,84,44,"New York Americans",124,"NYA",239
84,0,19251926,8,3,18,42,32,3,NA,1,4,19401941,11,NA,155,0,0,8,NA,0,2,0,0,3,44,"New York Americans",1,"NYA",6
85,0,19341935,3,2,48,144,86,14,NA,3,7,19341935,31,NA,408,0.2917,28,17,NA,3,4,0,0,3,45,"St. Louis Eagles",6,"SLE",11
86,0,19671968,13,2,226,713,541,46,NA,23,44,19691970,118,NA,2443,0.385,174,72,NA,19,22,0,0,11,46,"Oakland Seals",42,"OAK",66
87,0,19671968,13,3,11,36,31,4,NA,NA,2,19691970,8,NA,152,0,0,4,NA,NA,1,0,0,0,46,"Oakland Seals",NA,"OAK",3
88,1,19721973,21,2,636,2013,2057,104,NA,53,161,19791980,260,NA,7608,0.5063,644,156,NA,55,107,0,0,34,47,"Atlanta Flames",108,"AFM",268
89,1,19721973,21,3,17,62,32,6,NA,NA,2,19791980,15,NA,461,0,0,9,NA,NA,0,0,0,0,47,"Atlanta Flames",NA,"AFM",2
90,1,19741975,23,2,160,679,374,44,NA,16,20,19751976,110,NA,1726,0.2406,77,66,NA,7,7,0,0,0,48,"Kansas City Scouts",23,"KCS",27
91,0,19761977,13,2,160,617,470,34,NA,18,28,19771978,87,NA,2021,0.375,120,53,NA,8,19,0,0,6,49,"Cleveland Barons",26,"CLE",47
92,1,19301931,12,2,92,213,197,10,NA,11,25,19311932,41,NA,858,0.462,85,31,NA,6,9,0,0,12,50,"Detroit Falcons",17,"DFL",34
93,1,19301931,12,3,2,3,1,0,NA,1,0,19311932,1,NA,12,0,0,1,NA,0,0,0,0,0,50,"Detroit Falcons",1,"DFL",0
94,0,19411942,8,2,48,175,133,12,NA,2,10,19411942,29,NA,425,0.3646,35,17,NA,1,6,0,0,1,51,"Brooklyn Americans",3,"BRK",16
95,1,20112012,35,3,39,112,104,13,0,NA,7,NA,23,0,330,0.2821,22,10,0,NA,9,0,0,3,52,"Winnipeg Jets",NA,"WPG",16
96,1,20112012,35,2,749,2151,2209,136,33,NA,207,NA,292,75,7621,0.5601,839,156,42,NA,175,30,36,46,52,"Winnipeg Jets",NA,"WPG",382
97,1,20142015,28,2,536,1619,1345,120,30,NA,116,NA,262,60,4715,0.4552,488,142,30,NA,98,22,26,28,53,"Arizona Coyotes",NA,"ARI",214
98,1,20172018,38,2,291,793,939,38,13,NA,96,NA,94,24,2117,0.6357,370,56,11,NA,77,9,11,27,54,"Vegas Golden Knights",NA,"VGK",173
99,1,20172018,38,3,60,145,179,10,1,NA,21,NA,24,0,622,0.2667,32,14,2,NA,15,0,0,10,54,"Vegas Golden Knights",NA,"VGK",36
100,0,19701971,13,2,472,1867,1285,100,NA,52,84,19751976,283,NA,5594,0.3231,305,183,NA,21,32,0,0,15,56,"California Golden Seals",73,"CGS",116
101,1,19171918,5,2,40,201,173,5,NA,0,15,19181919,22,NA,696,0.45,36,17,NA,0,3,0,0,0,57,"Toronto Arenas",0,"TAN",18
102,1,19171918,5,3,7,28,28,2,NA,0,4,19181919,3,NA,176,0,0,1,NA,0,0,0,0,0,57,"Toronto Arenas",0,"TAN",4
103,1,19191920,5,3,11,25,23,4,NA,0,4,19261927,6,NA,123,0,0,2,NA,1,0,0,0,2,58,"Toronto St. Patricks",1,"TSP",4
104,1,19191920,5,2,230,768,724,37,NA,5,73,19261927,111,NA,2339,0.4957,228,74,NA,5,36,0,0,9,58,"Toronto St. Patricks",10,"TSP",109
105,1,20142015,28,3,9,33,22,1,0,NA,3,NA,5,0,80,NA,NA,4,0,NA,1,0,0,0,53,"Arizona Coyotes",NA,"ARI",4
