abbreviation,id,activeFranchise,firstSeasonId,franchiseId,gameTypeId,gamesPlayed,goalsAgainst,goalsFor,homeLosses,homeOvertimeLosses,homeTies,homeWins,lastSeasonId,losses,overtimeLosses,penaltyMinutes,pointPctg,points,roadLosses,roadOvertimeLosses,roadTies,roadWins,shootoutLosses,shootoutWins,shutouts,teamId,ties,wins
NJD,3,2,39643966,46,5,3250,9536,9489,578,85,NA,864,NA,1331,169,49039,0.5345,3178,753,84,NA,667,84,78,221,2,NA,1531
NYI,7,2,39443946,44,5,4095,12798,13025,730,85,NA,1057,NA,1724,166,63446,0.5263,3897,994,84,NA,801,70,86,189,4,NA,1858
NYR,11,2,38523854,20,5,7078,21467,21445,1247,76,449,1751,NA,2982,153,94310,0.5127,6727,1735,77,367,1376,68,79,452,6,816,3127
PHI,15,2,39343936,32,5,4620,13587,15025,681,93,NA,1351,NA,1670,183,85312,0.5797,4802,989,90,NA,959,92,53,281,8,NA,2310
PIT,19,2,39343936,34,5,4562,15180,15064,768,60,NA,1251,NA,1916,151,72327,0.5356,4352,1148,92,NA,861,54,83,219,10,NA,2112
BOS,23,2,38483850,12,5,7301,21044,23068,1111,94,379,2079,NA,2740,191,99177,0.5928,7504,1629,101,418,1494,82,68,555,12,797,3573
BUF,27,2,39403942,38,5,4201,12731,13234,693,84,NA,1126,NA,1696,167,65363,0.5305,4186,1003,83,NA,803,74,81,212,14,NA,1929
MTL,31,2,38343836,2,5,7558,20215,24091,1014,95,384,2295,NA,2623,175,99622,0.5863,7958,1609,80,461,1620,66,69,611,16,845,3915
OTT,35,2,39843986,60,5,2346,6952,6607,448,93,NA,570,NA,1019,169,31786,0.5071,2226,571,76,NA,473,79,58,149,18,NA,1043
TOR,39,2,38543856,10,5,7061,21444,21378,1202,85,390,1851,NA,2979,174,100881,0.5246,6705,1777,90,386,1281,77,59,472,20,776,3132
ATL,43,2,39984000,70,5,906,3031,2471,206,38,NA,183,40204022,441,78,13842,0.4473,807,235,40,NA,159,29,37,41,22,NA,342
CAR,47,2,39943996,52,5,1924,5422,5186,347,77,NA,485,NA,779,174,20739,0.5995,1930,432,99,NA,400,61,50,110,24,NA,885
FLA,51,2,39863988,66,5,2163,6274,5797,405,115,NA,498,NA,903,208,29946,0.5045,2128,498,93,NA,412,97,71,118,26,NA,910
TBL,55,2,39843986,62,5,2368,7101,6695,457,67,NA,606,NA,1022,150,33507,0.5719000000000001,2254,565,83,NA,478,59,69,138,28,NA,1084
WSH,59,2,39483950,48,5,3928,12390,12352,697,84,NA,1034,NA,1623,164,62607,0.5965,3904,926,82,NA,804,72,68,197,30,NA,1838
CHI,63,2,38523854,22,5,7108,21356,21103,1232,86,411,1821,NA,3036,173,101140,0.5039,6611,1804,88,408,1259,70,75,471,32,819,3080
DET,67,2,38643866,24,5,6911,20446,21295,1066,99,368,1929,NA,2739,183,93138,0.5354,6738,1673,84,405,1287,76,71,489,34,773,3216
NSH,71,2,39963998,68,5,1852,5048,5037,309,73,NA,511,NA,723,163,21310,0.631,1945,414,92,NA,395,70,74,140,36,NA,906
STL,75,2,39343936,36,5,4577,13915,13930,766,75,NA,1230,NA,1866,168,73338,0.5736,4489,1100,95,NA,881,70,74,273,38,NA,2111
CGY,79,2,39603962,42,5,3375,10551,10953,560,70,NA,923,NA,1354,150,60541,0.5458999999999999,3417,794,82,NA,677,65,52,158,40,NA,1600
COL,83,2,39903992,54,5,2197,6018,6504,371,63,NA,612,NA,822,143,28380,0.6116,2275,451,80,NA,519,42,73,147,42,NA,1131
EDM,87,2,39583960,50,5,3507,11458,11770,635,74,NA,921,NA,1449,167,60764,0.5204,3367,814,93,NA,708,69,75,136,44,NA,1629
VAN,91,2,39403942,40,5,4191,13779,12820,804,84,NA,999,NA,1881,159,71611,0.4877,3848,1077,75,NA,761,76,72,183,46,NA,1760
ANA,95,2,39863988,64,5,2273,6259,6126,393,82,NA,608,NA,907,180,32881,0.5369,2267,514,98,NA,471,78,71,153,48,NA,1079
DAL,99,2,39863988,30,5,2309,6113,6533,360,81,NA,648,NA,833,162,30669,0.617,2469,473,83,NA,541,62,74,165,50,NA,1189
LAK,103,2,39343936,28,5,4427,14612,13798,836,71,NA,1089,NA,1973,165,70274,0.491,4097,1137,94,NA,776,71,69,248,52,NA,1865
PHX,107,2,39923994,56,5,1417,3993,3765,268,48,NA,350,40264028,581,105,20697,0.5254,1429,313,57,NA,287,49,52,109,54,NA,637
SJS,111,2,39823984,58,5,2515,7309,7121,459,84,NA,656,NA,1042,163,34773,0.5994,2456,583,80,NA,533,67,76,172,56,NA,1189
CBJ,115,2,40004002,72,5,1609,4745,4202,313,77,NA,396,NA,724,159,20222,0.6887,1564,411,85,NA,297,72,71,107,58,NA,693
MIN,119,2,40004002,74,5,1651,4366,4353,267,84,NA,444,NA,653,154,18016,0.5630000000000001,1729,386,70,NA,345,70,71,120,60,NA,789
MNS,123,2,39343936,30,5,2228,7953,7242,424,NA,NA,522,39843986,1056,NA,39778,0.4486,1850,632,NA,NA,316,0,0,79,62,NA,838
QUE,127,2,39583960,54,5,1336,5169,4872,262,NA,NA,321,39883990,644,NA,29447,0.4594,1154,382,NA,NA,211,0,0,29,64,NA,532
WIN,131,2,39583960,56,5,1400,5600,4939,290,NA,NA,319,39903992,703,NA,28917,0.4425,1184,413,NA,NA,206,0,0,37,66,NA,525
HFD,135,2,39583960,52,5,1469,5522,4847,307,NA,NA,330,39923994,740,NA,30929,0.4384,1245,433,NA,NA,222,0,0,51,68,NA,552
CLR,139,2,39523954,46,5,482,1963,1429,116,NA,NA,78,39623964,283,NA,6241,0.325,312,167,NA,NA,35,0,0,3,70,NA,113
SEN,143,0,38343836,6,5,583,1417,1549,88,NA,34,166,38663868,238,NA,6164,0.5341,579,150,NA,35,110,0,0,100,72,69,276
HAM,73,0,19201921,4,2,126,475,414,30,NA,0,33,19241925,78,NA,1042,0.377,95,48,NA,1,14,0,0,8,37,1,47
PIR,149,0,38503852,18,5,216,531,384,56,NA,10,41,38583860,124,NA,1640,0.3703,157,68,NA,14,27,0,0,33,76,24,68
QUA,76,0,19301931,9,2,44,184,76,17,NA,2,3,19301931,36,NA,503,0.1364,12,19,NA,2,1,0,0,1,39,4,4
DCG,155,2,38523854,24,5,178,387,355,43,NA,11,35,38583860,89,NA,1742,0.4347,153,46,NA,14,29,0,0,29,80,25,64
MWN,79,0,19171918,2,2,6,37,17,2,NA,0,1,19171918,5,NA,27,0.1667,2,3,NA,0,0,0,0,0,41,0,1
QBD,80,0,19191920,4,2,24,177,91,8,NA,0,4,19191920,20,NA,119,0.1667,8,12,NA,0,0,0,0,0,42,0,4
MMR,163,0,38483850,14,5,672,1484,1548,119,NA,56,165,38743876,281,NA,7865,0.5088,633,162,NA,44,126,0,0,88,86,100,291
NYA,167,0,38503852,16,5,754,2049,1542,157,NA,68,151,38803882,384,NA,6503,0.409,602,227,NA,57,94,0,0,87,88,125,245
SLE,85,0,19341935,3,2,48,144,86,14,NA,3,7,19341935,31,NA,408,0.2917,28,17,NA,3,4,0,0,3,45,6,11
OAK,173,0,39343936,26,5,237,749,572,50,NA,NA,46,39383940,126,NA,2595,0.385,174,76,NA,NA,23,0,0,11,92,NA,69
AFM,177,2,39443946,42,5,653,2075,2089,110,NA,NA,163,39583960,275,NA,8069,0.5063,644,165,NA,NA,107,0,0,34,94,NA,270
KCS,90,1,19741975,23,2,160,679,374,44,NA,16,20,19751976,110,NA,1726,0.2406,77,66,NA,7,7,0,0,0,48,23,27
CLE,91,0,19761977,13,2,160,617,470,34,NA,18,28,19771978,87,NA,2021,0.375,120,53,NA,8,19,0,0,6,49,26,47
DFL,185,2,38603862,24,5,94,216,198,10,NA,12,25,38623864,42,NA,870,0.462,85,32,NA,6,9,0,0,12,100,18,34
BRK,94,0,19411942,8,2,48,175,133,12,NA,2,10,19411942,29,NA,425,0.3646,35,17,NA,1,6,0,0,1,51,3,16
WPG,191,2,40224024,70,5,788,2263,2313,149,33,NA,214,NA,315,75,7951,0.8422000000000001,861,166,42,NA,184,30,36,49,104,NA,398
ARI,202,2,40284030,56,5,545,1652,1367,121,30,NA,119,NA,267,60,4795,NA,NA,146,30,NA,99,22,26,28,106,NA,218
VGK,197,2,40344036,76,5,352,939,1122,48,14,NA,118,NA,118,24,2745,0.898,402,70,13,NA,92,9,11,37,108,NA,210
CGS,100,0,19701971,13,2,472,1867,1285,100,NA,52,84,19751976,283,NA,5594,0.3231,305,183,NA,21,32,0,0,15,56,73,116
TAN,203,2,38343836,10,5,47,229,201,7,NA,0,19,38363838,25,NA,872,0.45,36,18,NA,0,3,0,0,0,114,0,22
TSP,207,2,38383840,10,5,241,793,747,41,NA,5,77,38523854,117,NA,2462,0.4957,228,76,NA,6,36,0,0,11,116,11,113
